Tecnica,Epoca,Acuracia,Loss,Tempo(s)
Trivial->Albument,21,60.78,1.3129938508890853,3.590881109237671
Trivial->Albument,22,61.48,1.3353101679041415,2.9941349029541016
Trivial->Albument,23,62.88,1.3120295956164976,3.0481438636779785
Trivial->Albument,24,62.19,1.2985389564610734,3.0351569652557373
Trivial->Albument,25,62.19,1.2857856509051746,3.046186923980713
Trivial->AugMix,1,36.2,2.133270124845867,5.875202178955078
Trivial->AugMix,2,41.23,1.9196303464189362,6.176145076751709
Trivial->AugMix,3,45.58,1.8110750928709778,5.698484897613525
Trivial->AugMix,4,48.35,1.7721179482303089,5.722452878952026
Trivial->AugMix,5,51.14,1.7151179464557502,5.574867010116577
Trivial->AugMix,6,52.28,1.647907558875748,5.863302707672119
Trivial->AugMix,7,51.37,1.617279260973387,5.664579629898071
Trivial->AugMix,8,53.94,1.566709270960168,6.367601156234741
Trivial->AugMix,9,52.34,1.5129910571665703,5.895065784454346
Trivial->AugMix,10,56.62,1.497387460515469,5.904510259628296
Trivial->AugMix,11,56.9,1.4732080788552007,5.811295032501221
Trivial->AugMix,12,55.85,1.4179172093355203,5.758090019226074
Trivial->AugMix,13,58.05,1.3759465217590332,5.940251111984253
Trivial->AugMix,14,53.79,1.3543955796881566,5.739277124404907
Trivial->AugMix,15,58.54,1.3594600641274754,6.368955850601196
Trivial->AugMix,16,58.52,1.316172960438306,5.814043283462524
Trivial->AugMix,17,59.98,1.283457074738756,5.918575048446655
Trivial->AugMix,18,58.66,1.2686079793338534,5.89267897605896
Trivial->AugMix,19,59.91,1.2478163038628012,5.751958847045898
Trivial->AugMix,20,58.4,1.2102793009975288,5.850526809692383
Trivial->AugMix,21,59.67,1.1869426762001425,5.821784019470215
Trivial->AugMix,22,60.5,1.1593094785002214,5.945457220077515
Trivial->AugMix,23,58.83,1.138940847372707,8.222718954086304
Trivial->AugMix,24,61.24,1.132640285582482,9.25236988067627
Trivial->AugMix,25,60.78,1.1024012686331062,6.949670076370239
Trivial->CutMix,1,30.8,2.2189165655570693,2.972162961959839
Trivial->CutMix,2,29.77,2.1418007491510127,3.2532620429992676
Trivial->CutMix,3,39.57,2.077742419665373,3.3251171112060547
Trivial->CutMix,4,44.32,2.0675912325895287,2.7871057987213135
Trivial->CutMix,5,42.82,2.0222442617899254,2.8098220825195312
Trivial->CutMix,6,47.82,2.017208162742325,2.816549062728882
Trivial->CutMix,7,47.23,1.97928738744953,2.801780939102173
